시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
오색시장,상설장+3일장,경기도 오산시 오산로 272번길 21,경기도 오산시 오산동 853-27,3일+8일,37.15133204,127.0709405,319,농산물+축산물+수산물+가공식품+의류+신발+음식점,,,Y,Y,1914,031-376-4142,2025-11-10,B553077,소상공인시장진흥공단
전곡전통시장,상설장,경기도 연천군 전곡읍 전곡로172번길 4-15,경기도 연천군 전곡읍 전곡리 479-30,매일,38.02715221,127.0681662,64,가정용품+음식점,,,Y,Y,1963,031-832-4111,2025-11-10,B553077,소상공인시장진흥공단
여주한글시장(여주중앙로상점가),상설장+5일장,경기도 여주시 세종로14번길 24-1,경기도 여주시 하동 268-4,5일+10일,37.29755162,127.6342927,180,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2007,031-885-8741,2025-11-10,B553077,소상공인시장진흥공단
용문천년시장,상설장+5일장,경기도 양평군 용문면 용문시장2길 11,경기도 양평군 용문면 다문리 307-5,5일+10일,37.48396864,127.5947554,153,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://ymsijang.com/,Y,Y,1982,031-771-6172,2025-11-10,B553077,소상공인시장진흥공단
상계중앙시장,상설장,서울특별시 노원구 상계로 27길 32,서울특별시 노원구 상계동 389-641,매일,37.65994072,127.0698633,82,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,070-4141-1116,2025-11-10,B553077,소상공인시장진흥공단
양수리전통시장(양평양수리시장),상설장,경기도 양평군 양서면 양수로150번길 3-15,경기도 양평군 양서면 양수리 556-3,1일+6일,37.54506648,127.3197944,203,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://blog.naver.com/ysrsijang,Y,Y,1965,031-775-3110,2025-11-10,B553077,소상공인시장진흥공단
기장시장,상설장,부산광역시 기장군 기장읍 읍내로104번길 16,부산광역시 기장군 기장읍 대라리 72-1,매일,35.24369155,129.2148692,136,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1944,051-721-3963,2025-11-10,B553077,소상공인시장진흥공단
중부농수산물시장,상설장,경기도 안양시 만안구 안양로248번길23,경기도 안양시 만안구 안양동 622-337,매일,37.39590837,126.9256223,30,농산물+가공식품,,,Y,Y,1982,,2025-11-10,B553077,소상공인시장진흥공단
안양중앙인정시장,상설장,경기도 안양시 만안구 냉천로185번길 8,경기도 안양시 만안구 안양동 711-280,매일,37.39648106,126.9195685,393,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,031-447-9961,2025-11-10,B553077,소상공인시장진흥공단
육동시장,상설장,경기도 안양시 만안구 수리산로 47번길 38,경기도 안양시 만안구 안양동 434-3,매일,37.39058613,126.9302236,12,농산물+축산물+의류+음식점,,,N,N,1980,031-449-1205,2025-11-10,B553077,소상공인시장진흥공단
석수시장,상설장,경기도 안양시 만안구 석천로 171번길 20,경기도 안양시 만안구 석수동 287,매일,37.4128602,126.9079728,135,가공식품+음식점,,,Y,Y,1979,,2025-11-10,B553077,소상공인시장진흥공단
왜관시장,상설장,경상북도 칠곡군 왜관읍 시장2길 9,경상북도 칠곡군 왜관읍 왜관리 211-187,1일+6일,35.9951519,128.398250,134,음식점,,,Y,Y,1981,054-971-7660,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 안양시 만안구 냉천로 196,경기도 안양시 만안구 안양동 676-44,매일,37.39757136,126.919669,315,농산물+가공식품+가정용품+음식점,,,Y,Y,1961,031-449-6047,2025-11-10,B553077,소상공인시장진흥공단
안양남부시장,상설장,경기도 안양시 만안구 장내로 140번길 51,경기도 안양시 만안구 안양동 622-378,매일,37.39593498,126.924956,163,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2005,031-449-7400,2025-11-10,B553077,소상공인시장진흥공단
안양호계종합시장,상설장,경기도 안양시 동안구 흥안대로133번길 59-2,경기도 안양시 동안구 호계동 995-10,매일,37.37338078,126.9582499,178,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2008,031-453-4766,2025-11-10,B553077,소상공인시장진흥공단
안양관양시장,상설장,경기도 안양시 동안구 관평로 336번길 31,경기도 안양시 동안구 관양동 1407-8,매일,37.4052233,126.9593052,144,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,2006,031-386-5577,2025-11-10,B553077,소상공인시장진흥공단
죽산시장,5일장,경기도 안성시 죽산면 중서길 8-9,경기도 안성시 죽산면 죽산리 439-3,5일+10일,37.07598943,127.4233876,103,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2010,,2025-11-10,B553077,소상공인시장진흥공단
일죽시장,상설장,경기도 안성시 일죽면 금일로 467,경기도 안성시 일죽면 송천리 15-18,매일,37.09336892,127.4784203,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,,031-674-7763,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 안성시 장기로45번길 30,경기도 안성시 서인동 81,2일+7일,37.00656227,127.2687966,67,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2007,,2025-11-10,B553077,소상공인시장진흥공단
안성맞춤시장,상설장,경기도 안성시 시장길 37,경기도 안성시 서인동 13-1,매일,37.00663081,127.2703585,140,농산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1983,,2025-11-10,B553077,소상공인시장진흥공단
안산 다농마트 전통시장,상설장,경기도 안산시 상록구 예술광장로 1,경기도 안산시 상록구 월피동 445,매일,37.32836033,126.8442469,262,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2019,031-410-6666,2025-11-10,B553077,소상공인시장진흥공단
안산패션타운전통시장,상설장,경기도 안산시 상록구 삼리로 45,경기도 안산시 상록구 사동 1530,매일,37.30497907,126.8446674,115,의류,,,Y,Y,2001,031-418-6765,2025-11-10,B553077,소상공인시장진흥공단
월드프라자,상설장,경기도 안산시 상록구 본삼로 60,경기도 안산시 상록구 본오동 872,매일,37.30056356,126.8664563,223,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2017,031-407-0951,2025-11-10,B553077,소상공인시장진흥공단
신안프라자전통시장,상설장,경기도 안산시 상록구 반석로 54,경기도 안산시 상록구 본오동 871,매일,37.29647214,126.8658207,113,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1992,031-410-6666,2025-11-10,B553077,소상공인시장진흥공단
황금시장,상설장+5일장,경상북도 김천시 황금시장4길20,경상북도 김천시 황금동 31-1,5일+10일,36.11666261,128.1252827,175,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,054-435-5948,2025-11-10,B553077,소상공인시장진흥공단
스타프라자전통시장,상설장,경기도 안산시 상록구 화랑로 513,경기도 안산시 상록구 성포동 583,매일,37.32081031,126.8447251,128,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1986,031-482-5067,2025-11-10,B553077,소상공인시장진흥공단
제주시서문공설시장,상설장,제주특별자치도 제주시 서문로4길 13-2,제주특별자치도 제주시 용담일동 135-9,매일,33.51134646,126.5179035,82,농산물+축산물+수산물+의류+가정용품+음식점+근린생활서비스,,,Y,Y,1954,064-758-8381,2025-11-10,B553077,소상공인시장진흥공단
연풍전통시장,상설장,충청북도 괴산군 연풍면 향교로홍문길 5,충청북도 괴산군 연풍면 삼풍리 205-3,2일+7일,36.76472468,127.9951005,53,농산물+축산물+가공식품+음식점,,,Y,Y,1970,,2025-11-10,B553077,소상공인시장진흥공단
목도재래시장,상설장+4일장,충청북도 괴산군 불정면 목도로4길 11,충청북도 괴산군 불정면 목도리 299-3,4일+9일,36.87204755,127.8530473,75,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1970,,2025-11-10,B553077,소상공인시장진흥공단
전주남부시장,상설장,전북특별차치도 전주시 완산구 풍남문1길 19-3,전북특별차치도 전주시 완산구 전동 295-4,매일,35.81278651,127.1475386,320,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1977,063-284-1344,2025-11-10,B553077,소상공인시장진흥공단
홍성전통시장,상설장,충청남도 홍성군 홍성읍 홍성천길 242,충청남도 홍성군 홍성읍 대교리 400-1,1일+6일,36.60214738,126.6680243,220,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1943,041-632-8833,2025-11-10,B553077,소상공인시장진흥공단
홍성상설시장,상설장,충청남도 홍성군 홍성읍 아문길 60,충청남도 홍성군 홍성읍 오관리 397-6,매일,36.59973826,126.6637095,110,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1981,041-632-4333,2025-11-10,B553077,소상공인시장진흥공단
광천문화시장,4일장,충청남도 홍성군 광천읍 광천로323번길 15-1,충청남도 홍성군 광천읍 광천리 185-27,4일+9일,36.50232616,126.6250081,148,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1926,,2025-11-10,B553077,소상공인시장진흥공단
광천전통시장,상설장+4일장,충청남도 홍성군 광천읍 광천로 285,충청남도 홍성군 광천읍 광천리 230-32,4일+9일,36.4998307,126.6252434,179,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1926,041-641-4163,2025-11-10,B553077,소상공인시장진흥공단
갈산전통시장,3일장,충청남도 홍성군 갈산면 상촌로 29,충청남도 홍성군 갈산면 상촌리 240-16,3일+8일,36.6036997,126.5505509,40,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1943,,2025-11-10,B553077,소상공인시장진흥공단
태안서부시장,상설장,충청남도 태안군 태안읍 시장2길 32-7 (남문3리마을회관),충청남도 태안군 태안읍 남문리 164,매일,36.75299449,126.2968375,153,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,041-672-2151,2025-11-10,B553077,소상공인시장진흥공단
안면도수산시장(안면도장터),상설장,충청남도 태안군 안면읍 장터로 104,충청남도 태안군 안면읍 승언리 1249,매일,36.51635222,126.3460071,42,수산물,,,Y,Y,1955,041-673-0136,2025-11-10,B553077,소상공인시장진흥공단
태안동부시장(태안특산물전통시장),상설장+3일장,충청남도 서산시 시장4길 32,충청남도 서산시 동문동 288-3,3일+8일,36.78114144,126.4582001,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,041-675-5797,2025-11-10,B553077,소상공인시장진흥공단
정산시장,상설장+5일장,충청남도 청양군 정산면 정현길 54,충청남도 청양군 정산면 서정리 163,5일+10일,36.41059786,126.9480121,104,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1919,041-942-0833,2025-11-10,B553077,소상공인시장진흥공단
청양전통시장,상설장,충청남도 청양군 청양읍 칠갑산로6길 6,충청남도 청양군 청양읍 읍내리 178-4,2일+7일,36.45048364,126.8018476,149,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1971,,2025-11-10,B553077,소상공인시장진흥공단
북부시장,상설장+4일장,전북특별차치도 익산시 인북로 219,전북특별차치도 익산시 남중동 72-7,4일+9일,35.94821919,126.9565852,179,농산물+수산물+의류,,http://jbsj.kr/,Y,Y,1975,063-856-5084,2025-11-10,B553077,소상공인시장진흥공단
봉동시장,상설장+5일장,전북특별차치도 완주군 봉동읍 봉동동서로 134-5,전북특별차치도 완주군 봉동읍 장기리 217-13,5일+10일,35.93871982,127.1670778,25,농산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1964,,2025-11-10,B553077,소상공인시장진흥공단
병천시장,상설장,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,1일+6일,36.76242111,127.2981701,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,,2025-11-10,B553077,소상공인시장진흥공단
천안중앙시장(구 남산중앙시장),상설장,충청남도 천안시 동남구 사직2길 19 (남산중앙시장상인회),충청남도 천안시 동남구 사직동 263,매일,36.80032317,127.1484498,520,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,041-553-1135,2025-11-10,B553077,소상공인시장진흥공단
천안역전시장,상설장,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,매일,36.81006288,127.1498779,99,농산물+축산물+의류+가정용품+음식점,,,Y,Y,1955,041-522-9954,2025-11-10,B553077,소상공인시장진흥공단
삽교시장,상설장+5일장,충청남도 예산군 삽교읍 두리3길 50-6,충청남도 예산군 삽교읍 두리 568-62,2일+5일,36.68742244,126.7410344,12,농산물+음식점,,,Y,Y,,,2025-11-10,B553077,소상공인시장진흥공단
예산시장,5일장,충청남도 예산군 예산읍 형제고개로 967,충청남도 예산군 예산읍 예산리 333-1,5일+10일,36.67723471,126.8494508,,농산물+축산물+수산물+의류+신발+근린생활서비스,,,Y,Y,1926,041-333-3318,2025-11-10,B553077,소상공인시장진흥공단
예산상설시장,상설장+5일장,충청남도 예산군 예산읍 예산시장길 2,충청남도 예산군 예산읍 예산리 333-1,5일+10일,36.67723471,126.8494508,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1981,041-333-3318,2025-11-10,B553077,소상공인시장진흥공단
역전시장,상설장+3일장,충청남도 예산군 예산읍 역전로 84,충청남도 예산군 예산읍 산성리 356-7,3일+8일,36.68704166,126.829854,40,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1955,,2025-11-10,B553077,소상공인시장진흥공단
덕산시장,4일장,충청남도 예산군 덕산면 읍내서길 2-1,충청남도 예산군 덕산면 읍내리 356-4,4일+9일,36.70498477,126.6681533,53,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1987,,2025-11-10,B553077,소상공인시장진흥공단
광시시장,3일장,충청남도 예산군 광시면 예당로 165-22,충청남도 예산군 광시면 광시리 87-1,3일+8일,36.54911162,126.7744446,9,농산물+축산물,,,Y,Y,1925,041-332-1190,2025-11-10,B553077,소상공인시장진흥공단
안산시시민시장,상설장+5일장,경기도 안산시 단원구 화랑로 149,경기도 안산시 단원구 초지동 604-4,5일+10일,37.32536495,126.8050908,410,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1997,031-411-1040,2025-11-10,B553077,소상공인시장진흥공단
안강공설시장,상설장+4일장,경상북도 경주시 안강읍 비화중로 3길 26-3,경상북도 경주시 안강읍 양월리 1350-1,4일+9일,35.99030205,129.2217127,235,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1923,054-762-5356,2025-11-10,B553077,소상공인시장진흥공단
궁평항해오름수산시장,상설장,경기도 화성시 서신면 궁평항로 1049-24,경기도 화성시 서신면 궁평리 689,매일,37.11602674,126.6812763,143,수산물+가공식품,,궁평항.com,Y,Y,2006,031-355-9692,2025-11-10,B553077,소상공인시장진흥공단
오이도전통수산시장,상설장,경기도 시흥시 오이도로 167 173,경기도 시흥시 정왕동 2003-8 2003-12,매일,37.34588337,126.6882074,77,수산물+근린생활서비스,,https://oidosusan.com/,Y,Y,1999,031-431-5275,2025-11-10,B553077,소상공인시장진흥공단
정왕시장,상설장,경기도 시흥시 정왕시장길 51,경기도 시흥시 정왕동 1203,매일,37.34580179,126.748564,74,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,2002,031-434-0111,2025-11-10,B553077,소상공인시장진흥공단
시흥삼미시장,상설장,경기도 시흥시 삼미시장2길 35,경기도 시흥시 신천동 738-4,매일,37.44040657,126.7838201,151,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1987,031-317-4455,2025-11-10,B553077,소상공인시장진흥공단
도일시장,상설장+3일장,경기도 안산시 단원구 도일로 100,경기도 안산시 단원구 신길동 3-6,3일+8일,37.33934833,126.7839859,74,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,1953,,2025-11-10,B553077,소상공인시장진흥공단
팔달문시장,상설장,경기도 수원시 팔달구 정조로770번길 17,경기도 수원시 팔달구 영동 6-14,매일,37.27685014,127.0178829,221,의류,,,Y,Y,2005,031-251-5153,2025-11-10,B553077,소상공인시장진흥공단
역전시장,상설장,경기도 수원시 팔달구 매산로 2-10,경기도 수원시 팔달구 매산로1가 57-3,매일,37.26630163,127.0023389,300,의류+신발+음식점,,,Y,Y,2006,,2025-11-10,B553077,소상공인시장진흥공단
남문패션1번가시장,상설장,경기도 수원시 팔달구 정조로758번길 24,경기도 수원시 팔달구 영동 43-5,매일,37.27562469,127.0181081,156,의류+신발+음식점+근린생활서비스,,,N,N,2005,031-255-5226,2025-11-10,B553077,소상공인시장진흥공단
못골종합시장,상설장,경기도 수원시 팔달구 수원천로 254,경기도 수원시 팔달구 지동 415,매일,37.27618303,127.0200138,86,농산물+축산물+수산물+가공식품,,www.motgol.com,Y,Y,2005,031-246-5638,2025-11-10,B553077,소상공인시장진흥공단
남문로데오시장,상설장,경기도 수원시 팔달구 행궁로 88,경기도 수원시 팔달구 교동 3-6,매일,37.27463391,127.0155146,174,가공식품+의류+신발+음식점+근린생활서비스,,,Y,Y,2005,031-258-0336,2025-11-10,B553077,소상공인시장진흥공단
구천동공구상가시장,상설장,경기도 수원시 팔달구 수원천로199번길 5,경기도 수원시 팔달구 구천동 86-1,매일,37.27211975,127.0173519,89,근린생활서비스,,,Y,Y,2005,031-244-4434,2025-11-10,B553077,소상공인시장진흥공단
매산시장,상설장,경기도 수원시 팔달구 권선로 477,경기도 수원시 팔달구 매산로2가 90,매일,37.26457025,127.0033483,103,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,2011,031-224-7893,2025-11-10,B553077,소상공인시장진흥공단
미나리광시장,상설장,경기도 수원시 팔달구 수원천로 266-4,경기도 수원시 팔달구 지동 400-12,매일,37.27727335,127.0196307,51,농산물+축산물+수산물+음식점,,,Y,Y,2006,031-254-7795,2025-11-10,B553077,소상공인시장진흥공단
화서시장,상설장,경기도 수원시 팔달구 동말로 72,경기도 수원시 팔달구 화서동 97-1,매일,37.27858147,127.0020973,229,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,2005,031-241-4578,2025-11-10,B553077,소상공인시장진흥공단
지동시장,상설장,경기도 수원시 팔달구 팔달문로 19,경기도 수원시 팔달구 지동 402-2,매일,37.27788606,127.0196309,219,축산물+수산물+가공식품+음식점,,,Y,Y,2005,031-256-0202,2025-11-10,B553077,소상공인시장진흥공단
영동시장,상설장,경기도 수원시 팔달구 수원천로255번길 6,경기도 수원시 팔달구 영동 8,매일,37.27681569,127.0186497,282,근린생활서비스,,,Y,Y,2006,031-251-0171,2025-11-10,B553077,소상공인시장진흥공단
시민상가시장,상설장,경기도 수원시 팔달구 팔달문로4번길 19,경기도 수원시 팔달구 영동 10-18,매일,37.27667892,127.0179844,56,의류,,,Y,N,2005,031-255-6637,2025-11-10,B553077,소상공인시장진흥공단
북수원시장,상설장,경기도 수원시 장안구 파장로82번길 9,경기도 수원시 장안구 파장동 572-35,매일,37.30704501,126.992183,150,농산물+축산물+수산물+음식점,,,N,Y,2005,,2025-11-10,B553077,소상공인시장진흥공단
조원시장,상설장,경기도 수원시 장안구 조원로89번길 8,경기도 수원시 장안구 조원동 743-7,매일,37.30078207,127.0153395,135,농산물+축산물+수산물+의류+음식점,,,Y,N,2008,,2025-11-10,B553077,소상공인시장진흥공단
반딧불이연무시장,상설장,경기도 수원시 장안구 월드컵로428번길 10,경기도 수원시 장안구 연무동 249,매일,37.29395937,127.0259733,194,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,2011,031-3089-9464,2025-11-10,B553077,소상공인시장진흥공단
장안문거북시장,상설장,경기도 수원시 장안구 수성로382번길 24,경기도 수원시 장안구 영화동 250-1,매일,37.29315046,127.0139733,117,농산물+축산물+음식점,,www.gobuk.co.kr,Y,Y,2008,031-252-7800,2025-11-10,B553077,소상공인시장진흥공단
정자시장,상설장,경기도 수원시 장안구 수성로261번길 16,경기도 수원시 장안구 정자동 73-10,매일,37.29069027,127.0008813,150,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,2009,031-252-0290,2025-11-10,B553077,소상공인시장진흥공단
구매탄시장,상설장,경기도 수원시 영통구 매여울로53번길 50-1,경기도 수원시 영통구 매탄동 172-72,매일,37.27260017,127.0419199,118,농산물+축산물+수산물+의류+음식점,,,Y,Y,2006,031-211-3936,2025-11-10,B553077,소상공인시장진흥공단
