관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
44270-00133,공원:송산2 일반산업단지:12,소공원,,충청남도 당진시 송산면 유곡리 232-17,36.95876058,126.6945857,1484,,,,,,2018-05-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00132,공원:송산2 일반산업단지:11,소공원,,충청남도 당진시 송산면 유곡리 1444,36.959509,126.693025,421,,,,,,2016-01-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00131,공원:송산2 일반산업단지:10,소공원,,충청남도 당진시 송산면 유곡리 410-41,36.958969,126.692285,2787,,,,,,2016-01-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00130,공원:송산2 일반산업단지:1(파란공원),문화공원,,충청남도 당진시 송산면 동곡리 165-39,36.97414846,126.7022202,7781,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00129,공원:송산2 일반산업단지:1(미래공원),어린이공원,,충청남도 당진시 송산면 유곡리 산 1-2,36.965951,126.6879165,1663,,,,,,2009-09-02,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00127,공원:석문국가산업단지:8(옛토성공원),근린공원,,충청남도 당진시 석문면 통정리 2029,36.97391805,126.5906887,102433,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00126,공원:석문국가산업단지:7(진골공원),근린공원,,충청남도 당진시 고대면 성산리 1630,36.9766045,126.5813581,122266,,,,,,2008-06-19,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00125,공원:석문국가산업단지:6(삼봉공원),근린공원,,충청남도 당진시 석문면 삼봉리 2151,37.01115708,126.5612936,33399,,,,,,2010-03-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00160,머뭄공원(164호 소공원),소공원,,충청남도 당진시 수청동 1647,36.547290,126.399620,1223,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00159,공원:현대제철산업단지:1(송산제1공원),근린공원,,충청남도 당진시 송산면 가곡리 536,36.99749051,126.6844395,122058,,,,,,2006-10-25,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00158,공원:합덕일반산업단지:5(공원),체육공원,,충청남도 당진시 합덕읍 소소리 681,36.81557298,126.7498128,5831,,,,,,2008-04-03,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00157,공원:합덕일반산업단지:4(공원),체육공원,,충청남도 당진시 합덕읍 소소리 680,36.81671867,126.749597,9573,,,,,,2008-04-03,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00155,공원:합덕일반산업단지:2(공원),소공원,,충청남도 당진시 합덕읍 소소리 661,36.81837772,126.7466618,3941,,,,,,2008-04-03,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00154,공원:합덕일반산업단지:1(공원),근린공원,,충청남도 당진시 합덕읍 석우리 1134,36.81662243,126.7416645,34549,,,,,,2008-04-03,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00153,공원:합덕인더스파크일반산업단지:2(공원),소공원,,충청남도 당진시 합덕읍 석우리 산 165-1,36.471417,126.445266,3826,,,,,,2011-09-22,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00152,공원:합덕인더스파크일반산업단지:1(공원),소공원,,충청남도 당진시 합덕읍 석우리 산 165-1,36.472826,126.444476,7654,,,,,,2011-09-22,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00151,공원:아산국가산단(부곡:8)(한진공원),근린공원,,충청남도 당진시 송악읍 복운리 1656,36.94328671,126.7846042,19890,,,,,,1998-02-16,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00150,공원:아산국가산단(부곡:6)(상록수공원),근린공원,,충청남도 당진시 송악읍 부곡리 566,36.9607283,126.7805193,77766,,,,,,1998-02-16,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00149,공원:아산국가산단(부곡:1)(제1호어린이공원),어린이공원,,충청남도 당진시 송악읍 복운리 1631-1,36.94275369,126.7806741,3848,,,,,,1998-02-16,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00090,공원:804(한진리지구 11),소공원,,충청남도 당진시 송악읍 한진리 374,36.9693119,126.7806358,1162,,,,,,2013-07-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00089,공원:803(한진리지구 10),소공원,,충청남도 당진시 송악읍 한진리 377-7,36.96925398,126.7793314,613,,,,,,2013-07-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00085,공원:701(중흥:1 공원),근린공원,,충청남도 당진시 송악읍 중흥리 81-1,36.92976402,126.749989,223923,,,,,,2009-11-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00084,공원:609(송악:줄다리기공원),역사공원,,충청남도 당진시 송악읍 기지시리 347,36.90542724,126.6888263,1259,,,,,,2008-05-07,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00083,공원:608(송악:09 소공원),소공원,,충청남도 당진시 송악읍 반촌리 988,36.9041786,126.6950519,366,,,,,,2009-09-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00082,공원:607(송악:08 소공원),소공원,,충청남도 당진시 송악읍 반촌리 989,36.9046866,126.6987127,353,,,,,,2009-09-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00081,공원:606(송악:07 어린이공원),어린이공원,,충청남도 당진시 송악읍 기지시리 457,36.9030855,126.6948116,1802,,,,,,2009-09-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00080,공원:605(송악:제4호공원(송악지구),소공원,,충청남도 당진시 송악읍 기지시리 493,36.90070367,126.6894244,755,,,,,,2011-07-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00079,공원:604(송악:제3호공원),수변공원,,충청남도 당진시 송악읍 기지시리 513,36.89926327,126.6968508,1821,,,,,,2011-07-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00078,공원:603(송악:제2호공원),어린이공원,,충청남도 당진시 송악읍 기지시리 509,36.90088789,126.6933012,2439,,,,,,2011-07-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00077,공원:602(송악:제1호공원),어린이공원,,충청남도 당진시 송악읍 기지시리 502,36.90023918,126.6899896,2702,,,,,,2011-07-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00076,공원:601(송악:01 기지시공원),근린공원,,충청남도 당진시 송악읍 기지시리 153-46,36.90227998,126.6958419,44630,,,,,,1973-07-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00074,공원:504(신평:06 공간공원),어린이공원,,충청남도 당진시 신평면 거산리 877,36.8824741,126.7591698,1544,,,,,,2000-12-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00073,공원:503(신평:05 정우공원),어린이공원,,충청남도 당진시 신평면 금천리 880-10,36.884801,126.7691922,2907,,,,,,2000-12-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00072,공원:502(신평:03 거산공원),근린공원,,충청남도 당진시 신평면 거산리 62-1,36.87852686,126.758081,23451,,,,,,2000-12-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00071,공원:501(신평:01 신평공원),체육공원,,충청남도 당진시 신평면 금천리 산13-1,36.8856091,126.7821793,13941,,,,,,2000-12-23,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00070,공원:401호,역사공원,,충청남도 당진시 면천면 성상리 779-4,36.81811065,126.6683249,11446,,,,,,2020-06-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00069,공원:311(합덕 도시지역),소공원,,충청남도 당진시 합덕읍 운산리 291-60,36.80834432,126.7776551,878,,,,,,2020-03-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00068,공원:310(합덕11 우강송산지구),어린이공원,,충청남도 당진시 우강면 송산리 720,36.81182634,126.774910,3245,,,,,,2010-12-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00067,공원:309(합덕10 우강송산지구),어린이공원,,충청남도 당진시 우강면 송산리 744,36.81172952,126.7732346,2212,,,,,,2010-12-20,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00064,공원:306(합덕:06 중앙공원),어린이공원,,충청남도 당진시 합덕읍 운산리 295-20,36.80945017,126.7737065,1500,,,,,,1978-04-12,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00063,공원:305(합덕:05 중동공원),어린이공원,,충청남도 당진시 합덕읍 운산리 251-1,36.8057117,126.7711133,1493,,,,,,1978-04-12,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00062,공원:304(합덕:04 서동공원),어린이공원,,충청남도 당진시 합덕읍 운산리 321-6,36.8100723,126.7683262,1529,,,,,,1978-04-12,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00061,공원:303(합덕:03 교동(소들)공원),근린공원,,충청남도 당진시 우강면 창리 366-30,36.80671918,126.7789728,22870,,,,,,1985-12-26,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00060,공원:302(합덕:02 운산공원),근린공원,,충청남도 당진시 합덕읍 운산리 941-6,36.8058004,126.7652644,6810,,,,,,1996-12-14,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00059,공원:301(합덕:01 하운공원),문화공원,,충청남도 당진시 합덕읍 운산리 28-1,36.80105358,126.778304,20906,,,,,,1977-02-17,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00058,공원:163(당진2지구),수변공원,,충청남도 당진시 우두동 475-1,36.90590386,126.6269159,2640,,,,,,2020-10-13,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00057,공원:162(당진2지구),수변공원,,충청남도 당진시 우두동 388-1,36.90589343,126.6335824,6432,,,,,,2020-10-13,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00056,공원:161(당진2지구),수변공원,,충청남도 당진시 우두동 395-2,36.90518797,126.6321224,3988,,,,,,2020-10-13,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00055,공원:160(당진2지구),어린이공원,,충청남도 당진시 우두동 439-3,36.90454486,126.6289607,5255,,,,,,2020-10-13,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00054,공원:159,어린이공원,,충청남도 당진시 채운동 산65-4,36.8898591,126.624476,6696,,,,,,1968-10-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00053,공원:158(당진도시지역),소공원,,충청남도 당진시 읍내동 454-3,36.89717452,126.6288924,362,,,,,,2020-03-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00052,공원:157호,수변공원,,충청남도 당진시 채운동 992-1,36.9029601,126.6249087,3967,,,,,,2020-06-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00051,공원:156호,문화공원,,충청남도 당진시 읍내동 232-85,36.89397081,126.6319455,13659,,,,,,2020-06-10,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00050,공원:155(당진도시지역),소공원,,충청남도 당진시 읍내동 454-5,36.89707861,126.6288552,318,,,,,,2020-03-06,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00049,푸른물공원(153호 근린공원),근린공원,,충청남도 당진시 수청동 2197,36.8920289324,126.651763,34988,,,,,,2019-01-24,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00016,공원:121(당진:23 우리공원),어린이공원,,충청남도 당진시 우두동 1388,36.9023557,126.6326383,1500,,,,,,1998-02-09,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00015,공원:120(당진:22 하나공원),어린이공원,,충청남도 당진시 읍내동 1450,36.89777744,126.6247316,2251,,,,,,1998-02-09,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00014,공원:119(당진:21 한마음공원),근린공원,,충청남도 당진시 읍내동 1487,36.90047324,126.6292377,16718,,,,,,1998-02-09,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00013,공원:118(당진:17 라일락공원),근린공원,,충청남도 당진시 읍내동 934,36.89288768,126.6391892,3135,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00012,공원:117(당진:16 채송공원),근린공원,,충청남도 당진시 읍내동 1068,36.89007621,126.6391197,4987,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00011,공원:116(당진:15 해바라기공원),근린공원,,충청남도 당진시 대덕동 1710,36.88615679,126.6398247,4286,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00010,공원:115(당진:14 바다공원),어린이공원,,충청남도 당진시 대덕동 1522,36.8868512,126.6349617,1514,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00009,공원:114(당진:13 보름달공원),어린이공원,,충청남도 당진시 채운동 1042,36.88720282,126.6306794,1855,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00008,공원:113(당진:12 하늘공원),어린이공원,,충청남도 당진시 읍내동 1373,36.88803752,126.6348417,1491,,,,,,2000-06-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00007,공원:111(당진:10 은하공원),어린이공원,,충청남도 당진시 채운동 278-4,36.8946859,126.6226732,1800,,,,,,1986-12-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00006,공원:110(당진:09 새싹공원),어린이공원,,충청남도 당진시 읍내동 177-1,36.89023423,126.6353885,1364,,,,,,1986-12-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00005,공원:109(당진:8 서문공원),소공원,,충청남도 당진시 읍내동 560-2,36.89320136,126.6271367,58,,,,,,2011-02-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00004,공원:107(당진:06 남산공원),근린공원,,충청남도 당진시 읍내동 234-33,36.89325452,126.636098,51216,,,,,,1986-12-31,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00003,공원:104(당진:04 채운공원),근린공원,,충청남도 당진시 채운동 357-21,36.89064383,126.619224,81078,,,,,,1968-10-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00002,공원:103(당진:03 승리봉공원),역사공원,,충청남도 당진시 읍내동 507-12,36.89554285,126.627703,25009,,,,,,1968-10-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00001,공원:102(당진:02 계림공원),근린공원,,충청남도 당진시 수청동 산148,36.89744497,126.6450933,102106,,,,,,1968-10-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00032,공원:137(수청지구),어린이공원,,충청남도 당진시 수청동 849-26,36.8927558,126.6471064,1974,,,,,,2016-12-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00031,공원:136(수청지구),어린이공원,,충청남도 당진시 수청동 863-1,36.89735285,126.6463375,1510,,,,,,2016-12-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00030,공원:135(당진:44 남산공원),소공원,,충청남도 당진시 읍내동 232-40,36.894527,126.631857,569,,,,,,2011-02-21,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00029,공원:134(당진:37 채운),소공원,,충청남도 당진시 채운동 1126,36.89385027,126.6219112,729,,,,,,2008-10-22,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00028,공원:133(대덕수청지구 도시개발사업:36/무지개),어린이공원,,충청남도 당진시 대덕동 1878,36.88200697,126.6442476,2176,,,,,,2008-04-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
44270-00027,공원:132(대덕수청지구 도시개발사업:35/구름),어린이공원,,충청남도 당진시 대덕동 1835,36.88497603,126.6463185,1495,,,,,,2008-04-30,충청남도 당진시청,041-350-4192,2026-02-10,5680000,충청남도 당진시
